"","Phylum","Class","Order","Family","Genus","Alfalfa_Early","Alfalfa_Late","Compost_Early","Compost_Late","Mix_Early","Mix_Late"
"Otu01683","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified",NA,NA,NA,4.32544704411176,NA,5.14532526227758
"Otu01717","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified",NA,NA,NA,4.25153364473749,NA,NA
"Otu01762","Bacteroidetes","Sphingobacteriia","Sphingobacteriales","Sphingobacteriales_unclassified","Sphingobacteriales_unclassified",NA,NA,NA,4.1491946218473,NA,NA
"Otu01874","Proteobacteria","Proteobacteria_unclassified","Proteobacteria_unclassified","Proteobacteria_unclassified","Proteobacteria_unclassified",NA,NA,NA,4.0212541933597,NA,NA
"Otu01877","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified",NA,NA,NA,4.72072791203671,NA,NA
"Otu02260","candidate_division_WPS-2","candidate_division_WPS-2_unclassified","candidate_division_WPS-2_unclassified","candidate_division_WPS-2_unclassified","candidate_division_WPS-2_unclassified",NA,NA,NA,4.54576130524608,NA,NA
"Otu02322","Proteobacteria","Alphaproteobacteria","Alphaproteobacteria_unclassified","Alphaproteobacteria_unclassified","Alphaproteobacteria_unclassified",NA,NA,NA,4.80143630674556,NA,NA
"Otu02391","Chloroflexi","Anaerolineae","Anaerolineales","Anaerolineaceae","Anaerolineaceae_unclassified",NA,NA,NA,4.96238355233329,NA,NA
"Otu02800","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified",NA,NA,NA,4.65730311853413,NA,NA
"Otu03022","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified",NA,NA,NA,4.70624479242047,NA,NA
"Otu03151","Bacteroidetes","Bacteroidetes_incertae_sedis","Ohtaekwangia","Ohtaekwangia_unclassified","Ohtaekwangia_unclassified",NA,NA,NA,4.36839598372363,NA,NA
"Otu03497","Proteobacteria","Deltaproteobacteria","Myxococcales","Myxococcales_unclassified","Myxococcales_unclassified",NA,NA,NA,4.14399343962552,NA,NA
"Otu00122","Proteobacteria","Deltaproteobacteria","Myxococcales","Polyangiaceae","Sorangium",NA,NA,NA,NA,4.08944001399127,NA
"Otu01673","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified",NA,NA,NA,NA,4.05108365729484,NA
"Otu02419","Proteobacteria","Deltaproteobacteria","Myxococcales","Polyangiaceae","Polyangiaceae_unclassified",NA,NA,NA,NA,NA,4.36658972743509
